Date,Clicks,Impressions,CTR,Position
2026-06-04,16,621,2.58%,4.9
2026-06-05,21,636,3.3%,4.8
2026-06-06,23,702,3.28%,5.2
2026-06-07,18,703,2.56%,4.3
2026-06-08,23,795,2.89%,4.5
2026-06-09,32,839,3.81%,3.5
2026-06-10,27,861,3.14%,3.9
2026-06-11,25,770,3.25%,3.8
2026-06-12,39,818,4.77%,3.8
2026-06-13,40,954,4.19%,3.8
2026-06-14,34,778,4.37%,3.8
2026-06-15,31,801,3.87%,3.9
2026-06-16,32,740,4.32%,3.7
2026-06-17,23,768,2.99%,4.6
2026-06-18,28,660,4.24%,4.3
2026-06-19,32,883,3.62%,4
2026-06-20,40,986,4.06%,4.7
2026-06-21,32,808,3.96%,4.5
2026-06-22,36,852,4.23%,4
2026-06-23,32,775,4.13%,3.8
2026-06-24,30,976,3.07%,3.8
2026-06-25,32,813,3.94%,3.6
2026-06-26,36,797,4.52%,3.3
2026-06-27,24,868,2.76%,3.5
2026-06-28,35,799,4.38%,3.3
2026-06-29,48,907,5.29%,3.4
2026-06-30,33,793,4.16%,4.1
2026-07-01,37,801,4.62%,4.2
2026-07-02,38,946,4.02%,3.8
2026-07-03,34,859,3.96%,3.4
2026-07-04,55,1050,5.24%,3.9
2026-07-05,30,1206,2.49%,4
2026-07-06,40,1021,3.92%,4.2
2026-07-07,38,1000,3.8%,3.7
2026-07-08,35,1038,3.37%,4.1
2026-07-09,38,934,4.07%,3.1
2026-07-10,33,989,3.34%,3.3
2026-07-11,41,927,4.42%,3.9
2026-07-12,40,903,4.43%,3.9
2026-07-13,35,997,3.51%,3.8
2026-07-14,32,765,4.18%,3.5
2026-07-15,28,693,4.04%,4.4
2026-07-16,42,770,5.45%,3.7
2026-07-17,33,907,3.64%,3.4
2026-07-18,40,957,4.18%,4.5
2026-07-19,28,749,3.74%,3.4
